id,platform,human_label,suggested_label,severity,reason,text
T0565,xhs,1,0,HIGH,“笑死”单独出现为中性口头语，无攻击对象,笑死
T1598,zhihu,0,1,HIGH,含“这些人应该被凌迟”，为暴力/去人化表述，疑漏标,我是真有些怕了，最近网传好几个隐瞒婚检婚后不几天就查出艾滋的。。。不管男女，你说这得多笋？！怎么忍心下得去手把爱你喜欢你的人亲手拉进地狱，这些“人”应该被凌迟??
T1359,tieba,2,0,LOW,“别打拳…点踩举报完事”近乎中性元评论，2/0边界,别打拳，打什么拳，点踩举报完事。
T0435,wb,1,0,LOW,“我也觉得他丑”轻度外貌评价，0/1边界,我也觉得他丑
T0393,wb,0,2,LOW,“回家问问你妈妈”带居高临下口吻，0/2边界,看不到她衣服都脏了？她是没用衣服垫吗？至于你说得垫纸有没有用，你可以回家问问你妈妈
T0758,xhs,1,2,LOW,“戏精”轻度隐性嘲讽，1/2边界,戏精
T0553,xhs,1,?,LOW,“马喽”语义依赖语境，可能自嘲，需看上下文,马喽
T0599,xhs,1,0,LOW,发泄情绪、无明确攻击对象，疑1→0,加了不同意 然后我营地又骂不回去 气死人了
T1755,zhihu,0,2,LOW,“非洲能跟中国比吗”含轻蔑，0/2边界,非洲能跟中国比吗??
T1819,zhihu,2,0,LOW,“小机灵笑死我了”较温和，2/0边界,你真是小机灵笑死我了，他们是这样哈哈
T1962,zhihu,2,0,LOW,“白黑都歧视黄”是对歧视的陈述而非攻击，2/0边界,白黑都歧视黄
T1824,zhihu,2,0,LOW,“还算识趣”轻度居高临下，2/0边界,这女的还算识趣
T0017,wb,0,2,MED,“北京六院（精神病院）表示无能为力”暗讽对方精神有问题,北京六院表示无能为力～
T0381,wb,1,2,MED,“做个人吧”属隐性贬低，宜归隐性(2)而非显性(1),哈哈哈然后今天反转了，兰州客运做个人吧
T0454,wb,1,2,MED,“最有男人味的女人”为反讽，宜隐性(2),性别对立就是你挑起来的，你简直是世界上最有男人味的女人了
T0651,xhs,1,2,MED,“见过人吗？”反问式隐性贬低，宜(2),见过人吗？
T0980,xhs,1,2,MED,“可以出栏了”把人比作牲畜，隐性去人化，宜(2),可以出栏了
